artist,play_count
The Rolling Stones,2970
Bob Dylan,2156
Wilco,2049
Spiritualized,1813
The Clash,1493
Pavement,1492
Neil Young,1344
Beastie Boys,1336
Sonic Youth,1085
David Bowie,1043
Radiohead,1033
Miles Davis,1027
Yo La Tengo,911
Ella Fitzgerald,873
Explosions in the Sky,773
R.E.M.,708
Janelle Monáe,678
Billy Bragg & Wilco,642
The Cure,606
Man or Astro-Man?,543
Wu-Tang Clan,514
Portishead,508
Frank Zappa,497
Pixies,492
U2,483
Red Hot Chili Peppers,477
Thievery Corporation,473
A Tribe Called Quest,472
Fugazi,465
Prince,453
Ride,452
New Order,449
James Brown,443
The Jackson 5,439
Björk,437
Nina Simone,431
The Band,427
Massive Attack,424
Aesop Rock,415
The Velvet Underground,397
The Verve,392
Bad Brains,391
Bill Hicks,390
The Stone Roses,380
Rancid,375
George Harrison,368
The Smiths,366
Nas,363
311,361
The Chemical Brothers,357
The Roots,349
Bob Wills & His Texas Playboys,334
Beck,331
Jay-Z,327
The Beatles,323
DJ Cam,322
Grateful Dead,322
The Beach Boys,322
My Bloody Valentine,320
Stevie Wonder,308
Curtis Mayfield,307
The Replacements,307
Primal Scream,305
Drive-By Truckers,299
The Jesus and Mary Chain,297
KMFDM,296
Michael Jackson,290
Sebadoh,281
Matisyahu,274
Asian Dub Foundation,265
The Allman Brothers Band,263
Waylon Jennings,247
Bruce Springsteen,245
DJ Shadow,243
Jay Dee,237
Jimi Hendrix,237
Elvis Costello,232
The Slackers,221
Marvin Gaye,215
Pantera,211
Reverend Horton Heat,211
Joy Division,207
Nusrat Fateh Ali Khan,207
Lil' Wayne,204
Daft Punk,202
Elvis Costello & The Attractions,199
Charanjit Singh,196
Dinosaur Jr.,196
Frédéric Chopin,194
Johnny Cash,193
Roots Manuva,192
The Who,190
Emmylou Harris,183
Santana,183
Blur,180
Stereolab,178
Charlie Parker,177
Cocteau Twins,177
Rage Against the Machine,177
The Legendary Pink Dots,176
Mike Ness,174
Ramones,173
MGMT,170
Suede,169
The Mountain Goats,168
Lynyrd Skynyrd,167
The Be Good Tanyas,167
Buddy Guy,166
Neil Young & Crazy Horse,165
El-P,163
OutKast,163
Al Green,162
Johannes Brahms,161
Sigur Rós,161
Dread Zeppelin,159
Social Distortion,159
Creedence Clearwater Revival,158
Stars,158
Modest Mouse,157
Bad Religion,155
John Coltrane,153
Cypress Hill,151
The Apples in Stereo,151
Ween,151
Nine Inch Nails,150
Pink Floyd,148
Regina Spektor,148
The American Analog Set,146
Goodie Mob,144
Mogwai,144
Van Morrison,143
Keith Jarrett,142
The Flaming Lips,140
Joe Pass,139
Eminem,138
The Beta Band,138
George Strait,137
"Medeski, Martin and Wood",137
Mos Def,136
DJ Spooky,135
Primus,134
Raekwon,134
De La Soul,133
Dead Kennedys,133
George Benson,133
Woody Guthrie,132
Sarah Vaughan,131
Sublime,130
Parliament,127
The Police,127
Brian Setzer,126
Del Tha Funkee Homosapien,124
Sun Ra,124
The Byrds,124
Gang Starr,122
Capleton,121
Misfits,121
Black Star,120
Melvins,118
Mobb Deep,118
Sly & The Family Stone,117
The Kinks,117
Galaxie 500,116
Mark Knopfler,116
GZA/Genius,115
Stan Getz,115
The Magnetic Fields,115
Spacemen 3,114
Duke Ellington,113
The Smashing Pumpkins,113
Black Sabbath,112
Morrissey,112
The Mars Volta,112
Wes Montgomery,112
The Dirty Dozen Brass Band,110
Funkadelic,109
Tool,109
Django Reinhardt,107
Weezer,107
Tricky,106
Lucinda Williams,105
Simon & Garfunkel,105
Jerry Lee Lewis,104
The Herbaliser,104
DJ Krush,103
Guided by Voices,103
Lyle Lovett,103
RJD2,103
Sinéad O'Connor,103
Tori Amos,103
Hank Williams,101
The Jon Spencer Blues Explosion,100
Immortal Technique,99
Method Man,99
Mono,99
Swervedriver,98
Purchase New York,96
Toots and The Maytals,96
Dorothy Ashby,95
Paul Wall,95
